bucket,precision,method,latency_ms,throughput_tokens_per_s,dram_bytes_per_token,quality_drop,average_fusion_depth,entropy_gain
short,fp16,no_fusion,52.0647,28923.1073,2805.4249,0.0,1,0.3848
short,fp16,static_fusion,42.6075,35325.7723,2319.4524,0.0521,2.3333,0.3848
short,fp16,entropy_guided,41.0765,37031.1285,2261.4034,0.0,2.5316,0.3848
short,w8a8,no_fusion,51.6353,29163.7378,2805.4249,0.0887,1,0.3848
short,w8a8,static_fusion,42.1781,35685.3926,2319.4524,0.1408,2.3333,0.3848
short,w8a8,entropy_guided,40.6471,37427.6768,2261.4034,0.0117,2.5316,0.3848
short,w4a8,no_fusion,51.3419,29330.4175,2805.4249,0.1647,1,0.3848
short,w4a8,static_fusion,41.8848,35935.2732,2319.4524,0.2167,2.3333,0.3848
short,w4a8,entropy_guided,40.3538,37703.4753,2261.4034,0.0356,2.5316,0.3848
medium,fp16,no_fusion,68.8716,87635.575,940.2528,0.0,1,0.4027
medium,fp16,static_fusion,56.7476,106323.1224,777.5969,0.0551,2.3333,0.4027
medium,fp16,entropy_guided,54.2017,112054.6279,742.9729,0.0,2.7417,0.4027
medium,w8a8,no_fusion,68.2986,88370.9684,940.2528,0.0887,1,0.4027
medium,w8a8,static_fusion,56.1746,107407.5367,777.5969,0.1438,2.3333,0.4027
medium,w8a8,entropy_guided,53.6288,113264.7529,742.9729,0.0008,2.7417,0.4027
medium,w4a8,no_fusion,67.9073,88880.4217,940.2528,0.1648,1,0.4027
medium,w4a8,static_fusion,55.7833,108161.0613,777.5969,0.2199,2.3333,0.4027
medium,w4a8,entropy_guided,53.2374,114106.5375,742.9729,0.0342,2.7417,0.4027
long,fp16,no_fusion,88.5378,273086.2964,305.1068,0.0,1,0.4426
long,fp16,static_fusion,73.6103,328327.9571,253.5322,0.0818,2.3333,0.4426
long,fp16,entropy_guided,70.7106,344376.7025,244.8612,0.0,2.3916,0.4426
long,w8a8,no_fusion,87.8015,275376.5028,305.1068,0.0897,1,0.4426
long,w8a8,static_fusion,72.874,331644.1035,253.5322,0.1714,2.3333,0.4426
long,w8a8,entropy_guided,69.9743,348032.4658,244.8612,0.0047,2.3916,0.4426
long,w4a8,no_fusion,87.2985,276963.0593,305.1068,0.1665,1,0.4426
long,w4a8,static_fusion,72.371,333948.0042,253.5322,0.2483,2.3333,0.4426
long,w4a8,entropy_guided,69.4714,350574.5861,244.8612,0.0206,2.3916,0.4426
ultra_long,fp16,no_fusion,104.5387,626908.1483,122.9785,0.0,1,0.4664
ultra_long,fp16,static_fusion,87.2229,751367.8375,102.359,0.0851,2.3333,0.4664
ultra_long,fp16,entropy_guided,84.4978,779403.6898,98.8289,0.0,2.4967,0.4664
ultra_long,w8a8,no_fusion,103.6675,632176.5795,122.9785,0.0899,1,0.4664
ultra_long,w8a8,static_fusion,86.3517,758948.4837,102.359,0.1751,2.3333,0.4664
ultra_long,w8a8,entropy_guided,83.6266,787604.1636,98.8289,0.0121,2.4967,0.4664
ultra_long,w4a8,no_fusion,103.0724,635826.4285,122.9785,0.167,1,0.4664
ultra_long,w4a8,static_fusion,85.7567,764215.0578,102.359,0.2522,2.3333,0.4664
ultra_long,w4a8,entropy_guided,83.0315,793305.9844,98.8289,0.0429,2.4967,0.4664
