method,sequence_length,precision,latency_ms,throughput_tokens_per_s,dram_bytes_per_token,quality_drop,average_fusion_depth,p95_group_depth,entropy_before,entropy_after,entropy_gain,outlier_before,outlier_after,max_projection_error
no_fusion,1024,fp16,48.0064,21330.4782,3529.2021,0.0,1,1.0,0.4503,0.5005,0.3344,0.000641,0.0,0.0
static_fusion,1024,fp16,39.1462,26158.3381,2914.1848,0.0432,2.3333,3.0,0.4503,0.5005,0.3344,0.000641,0.0,0.0
entropy_guided,1024,fp16,41.5413,24650.1841,3105.4393,0.0,1.75,3.0,0.4503,0.5005,0.3344,0.000641,0.0,0.0
no_fusion,1024,w8a8,47.6104,21507.8945,3529.2021,0.0885,1,1.0,0.4503,0.5005,0.3344,0.000641,0.0,0.0
static_fusion,1024,w8a8,38.7502,26425.6579,2914.1848,0.1317,2.3333,3.0,0.4503,0.5005,0.3344,0.000641,0.0,0.0
entropy_guided,1024,w8a8,41.1453,24887.4282,3105.4393,0.0,1.75,3.0,0.4503,0.5005,0.3344,0.000641,0.0,0.0
no_fusion,1024,w4a8,47.3399,21630.7868,3529.2021,0.1643,1,1.0,0.4503,0.5005,0.3344,0.000641,0.0,0.0
static_fusion,1024,w4a8,38.4797,26611.4161,2914.1848,0.2075,2.3333,3.0,0.4503,0.5005,0.3344,0.000641,0.0,0.0
entropy_guided,1024,w4a8,40.8748,25052.1225,3105.4393,0.0106,1.75,3.0,0.4503,0.5005,0.3344,0.000641,0.0,0.0
no_fusion,1024,fp16,48.1003,21288.8401,3537.0266,0.0,1,1.0,0.4824,0.5256,0.3908,0.000671,0.0,0.0
static_fusion,1024,fp16,39.2722,26074.4059,2924.6856,0.0348,2.3333,3.0,0.4824,0.5256,0.3908,0.000671,0.0,0.0
entropy_guided,1024,fp16,38.074,26894.9949,2827.3332,0.0,2.3333,4.0,0.4824,0.5256,0.3908,0.000671,0.0,0.0
no_fusion,1024,w8a8,47.7043,21465.5617,3537.0266,0.0887,1,1.0,0.4824,0.5256,0.3908,0.000671,0.0,0.0
static_fusion,1024,w8a8,38.8762,26340.0043,2924.6856,0.1235,2.3333,3.0,0.4824,0.5256,0.3908,0.000671,0.0,0.0
entropy_guided,1024,w8a8,37.678,27177.6644,2827.3332,0.0,2.3333,4.0,0.4824,0.5256,0.3908,0.000671,0.0,0.0
no_fusion,1024,w4a8,47.4338,21587.9692,3537.0266,0.1647,1,1.0,0.4824,0.5256,0.3908,0.000671,0.0,0.0
static_fusion,1024,w4a8,38.6057,26524.5561,2924.6856,0.1995,2.3333,3.0,0.4824,0.5256,0.3908,0.000671,0.0,0.0
entropy_guided,1024,w4a8,37.4075,27374.1847,2827.3332,0.0,2.3333,4.0,0.4824,0.5256,0.3908,0.000671,0.0,0.0
no_fusion,1024,fp16,48.2473,21223.9871,3549.2747,0.0,1,1.0,0.4926,0.531,0.4429,0.000651,0.0,0.0
static_fusion,1024,fp16,39.3835,26000.7139,2933.9612,0.033,2.3333,3.0,0.4926,0.531,0.4429,0.000651,0.0,0.0
entropy_guided,1024,fp16,38.049,26912.6805,2825.2482,0.0,2.3333,4.0,0.4926,0.531,0.4429,0.000651,0.0,0.0
no_fusion,1024,w8a8,47.8513,21399.6292,3549.2747,0.0886,1,1.0,0.4926,0.531,0.4429,0.000651,0.0,0.0
static_fusion,1024,w8a8,38.9875,26264.8055,2933.9612,0.1216,2.3333,3.0,0.4926,0.531,0.4429,0.000651,0.0,0.0
entropy_guided,1024,w8a8,37.653,27195.7238,2825.2482,0.0,2.3333,4.0,0.4926,0.531,0.4429,0.000651,0.0,0.0
no_fusion,1024,w4a8,47.5808,21521.2838,3549.2747,0.1645,1,1.0,0.4926,0.531,0.4429,0.000651,0.0,0.0
static_fusion,1024,w4a8,38.717,26448.3013,2933.9612,0.1975,2.3333,3.0,0.4926,0.531,0.4429,0.000651,0.0,0.0
entropy_guided,1024,w4a8,37.3825,27392.5063,2825.2482,0.0,2.3333,4.0,0.4926,0.531,0.4429,0.000651,0.0,0.0
no_fusion,1024,fp16,48.1439,21269.5646,3540.6591,0.0,1,1.0,0.5092,0.5477,0.3799,0.000671,0.0,0.0
static_fusion,1024,fp16,39.287,26064.5857,2925.9187,0.0274,2.3333,3.0,0.5092,0.5477,0.3799,0.000671,0.0,0.0
entropy_guided,1024,fp16,38.131,26854.7703,2832.0857,0.0,2.3333,4.0,0.5092,0.5477,0.3799,0.000671,0.0,0.0
no_fusion,1024,w8a8,47.7479,21445.965,3540.6591,0.0887,1,1.0,0.5092,0.5477,0.3799,0.000671,0.0,0.0
static_fusion,1024,w8a8,38.891,26329.9831,2925.9187,0.1161,2.3333,3.0,0.5092,0.5477,0.3799,0.000671,0.0,0.0
entropy_guided,1024,w8a8,37.735,27136.5904,2832.0857,0.0,2.3333,4.0,0.5092,0.5477,0.3799,0.000671,0.0,0.0
no_fusion,1024,w4a8,47.4774,21568.1485,3540.6591,0.1647,1,1.0,0.5092,0.5477,0.3799,0.000671,0.0,0.0
static_fusion,1024,w4a8,38.6205,26514.3939,2925.9187,0.1921,2.3333,3.0,0.5092,0.5477,0.3799,0.000671,0.0,0.0
entropy_guided,1024,w4a8,37.4645,27332.515,2832.0857,0.0,2.3333,4.0,0.5092,0.5477,0.3799,0.000671,0.0,0.0
no_fusion,1024,fp16,48.1155,21282.1118,3538.2938,0.0,1,1.0,0.5268,0.5646,0.3706,0.000804,0.0,0.0
static_fusion,1024,fp16,39.2631,26080.4863,2923.9226,0.0218,2.3333,3.0,0.5268,0.5646,0.3706,0.000804,0.0,0.0
entropy_guided,1024,fp16,41.8249,24483.0316,3114.0738,0.0,1.4,3.0,0.5268,0.5646,0.3706,0.000804,0.0,0.0
no_fusion,1024,w8a8,47.7195,21458.7212,3538.2938,0.0896,1,1.0,0.5268,0.5646,0.3706,0.000804,0.0,0.0
static_fusion,1024,w8a8,38.8671,26346.2092,2923.9226,0.1114,2.3333,3.0,0.5268,0.5646,0.3706,0.000804,0.0,0.0
entropy_guided,1024,w8a8,41.4289,24717.0538,3114.0738,0.0,1.4,3.0,0.5268,0.5646,0.3706,0.000804,0.0,0.0
no_fusion,1024,w4a8,47.449,21581.0505,3538.2938,0.1664,1,1.0,0.5268,0.5646,0.3706,0.000804,0.0,0.0
static_fusion,1024,w4a8,38.5966,26530.8482,2923.9226,0.1882,2.3333,3.0,0.5268,0.5646,0.3706,0.000804,0.0,0.0
entropy_guided,1024,w4a8,41.1584,24879.4936,3114.0738,0.0,1.4,3.0,0.5268,0.5646,0.3706,0.000804,0.0,0.0
no_fusion,2048,fp16,56.1463,36476.1461,2077.7743,0.0,1,1.0,0.2654,0.3259,0.4034,0.000651,0.000221,0.0
static_fusion,2048,fp16,46.0786,44445.8325,1719.9525,0.1014,2.3333,3.0,0.2654,0.3259,0.4034,0.000651,0.000221,0.0
entropy_guided,2048,fp16,41.4225,49441.7788,1534.6982,0.0,3.5,4.0,0.2654,0.3259,0.4034,0.000651,0.000221,0.0
no_fusion,2048,w8a8,55.6835,36779.3254,2077.7743,0.0886,1,1.0,0.2654,0.3259,0.4034,0.000651,0.000221,0.0
static_fusion,2048,w8a8,45.6157,44896.7874,1719.9525,0.1899,2.3333,3.0,0.2654,0.3259,0.4034,0.000651,0.000221,0.0
entropy_guided,2048,w8a8,40.9596,50000.4482,1534.6982,0.0645,3.5,4.0,0.2654,0.3259,0.4034,0.000651,0.000221,0.0
no_fusion,2048,w4a8,55.3673,36989.3287,2077.7743,0.1645,1,1.0,0.2654,0.3259,0.4034,0.000651,0.000221,0.0
static_fusion,2048,w4a8,45.2996,45210.1136,1719.9525,0.2658,2.3333,3.0,0.2654,0.3259,0.4034,0.000651,0.000221,0.0
entropy_guided,2048,w4a8,40.6435,50389.3667,1534.6982,0.1404,3.5,4.0,0.2654,0.3259,0.4034,0.000651,0.000221,0.0
no_fusion,2048,fp16,56.1182,36494.4092,2076.6035,0.0,1,1.0,0.317,0.3701,0.4049,0.000661,0.000267,0.0
static_fusion,2048,fp16,46.0926,44432.284,1720.538,0.0866,2.3333,3.0,0.317,0.3701,0.4049,0.000661,0.000267,0.0
entropy_guided,2048,fp16,44.5772,45942.7991,1658.6446,0.0,2.3333,4.0,0.317,0.3701,0.4049,0.000661,0.000267,0.0
no_fusion,2048,w8a8,55.6554,36797.8934,2076.6035,0.0886,1,1.0,0.317,0.3701,0.4049,0.000661,0.000267,0.0
static_fusion,2048,w8a8,45.6298,44882.9626,1720.538,0.1753,2.3333,3.0,0.317,0.3701,0.4049,0.000661,0.000267,0.0
entropy_guided,2048,w8a8,44.1143,46424.8073,1658.6446,0.0,2.3333,4.0,0.317,0.3701,0.4049,0.000661,0.000267,0.0
no_fusion,2048,w4a8,55.3392,37008.1094,2076.6035,0.1646,1,1.0,0.317,0.3701,0.4049,0.000661,0.000267,0.0
static_fusion,2048,w4a8,45.3136,45196.0952,1720.538,0.2512,2.3333,3.0,0.317,0.3701,0.4049,0.000661,0.000267,0.0
