bucket,precision,method,latency_ms,throughput_tokens_per_s,dram_bytes_per_token,quality_drop,average_fusion_depth,entropy_gain
short,fp16,no_fusion,52.0647,28923.1073,2805.4249,0.0,1,0.3848
short,fp16,static_fusion,42.6075,35325.7723,2319.4524,0.0521,2.3333,0.3848
short,fp16,entropy_guided,38.949,38675.4742,2107.6257,0.0,3.2667,0.3848
short,w8a8,no_fusion,51.6353,29163.7378,2805.4249,0.0887,1,0.3848
short,w8a8,static_fusion,42.1781,35685.3926,2319.4524,0.1408,2.3333,0.3848
short,w8a8,entropy_guided,38.5196,39107.2905,2107.6257,0.016,3.2667,0.3848
short,w4a8,no_fusion,51.3419,29330.4175,2805.4249,0.1647,1,0.3848
short,w4a8,static_fusion,41.8848,35935.2732,2319.4524,0.2167,2.3333,0.3848
short,w4a8,entropy_guided,38.2262,39407.8367,2107.6257,0.0608,3.2667,0.3848
medium,fp16,no_fusion,68.8716,87635.575,940.2528,0.0,1,0.4027
medium,fp16,static_fusion,56.7476,106323.1224,777.5969,0.0551,2.3333,0.4027
medium,fp16,entropy_guided,51.4744,117088.3873,698.0141,0.0,3.3833,0.4027
medium,w8a8,no_fusion,68.2986,88370.9684,940.2528,0.0887,1,0.4027
medium,w8a8,static_fusion,56.1746,107407.5367,777.5969,0.1438,2.3333,0.4027
medium,w8a8,entropy_guided,50.9015,118405.5846,698.0141,0.0038,3.3833,0.4027
medium,w4a8,no_fusion,67.9073,88880.4217,940.2528,0.1648,1,0.4027
medium,w4a8,static_fusion,55.7833,108161.0613,777.5969,0.2199,2.3333,0.4027
medium,w4a8,entropy_guided,50.5101,119322.4858,698.0141,0.0591,3.3833,0.4027
long,fp16,no_fusion,88.5378,273086.2964,305.1068,0.0,1,0.4426
long,fp16,static_fusion,73.6103,328327.9571,253.5322,0.0818,2.3333,0.4426
long,fp16,entropy_guided,66.4709,363180.7075,226.3424,0.0,3.3833,0.4426
long,w8a8,no_fusion,87.8015,275376.5028,305.1068,0.0897,1,0.4426
long,w8a8,static_fusion,72.874,331644.1035,253.5322,0.1714,2.3333,0.4426
long,w8a8,entropy_guided,65.7346,367244.5956,226.3424,0.0194,3.3833,0.4426
long,w4a8,no_fusion,87.2985,276963.0593,305.1068,0.1665,1,0.4426
long,w4a8,static_fusion,72.371,333948.0042,253.5322,0.2483,2.3333,0.4426
long,w4a8,entropy_guided,65.2317,370073.1819,226.3424,0.0818,3.3833,0.4426
ultra_long,fp16,no_fusion,104.5387,626908.1483,122.9785,0.0,1,0.4664
ultra_long,fp16,static_fusion,87.2229,751367.8375,102.359,0.0851,2.3333,0.4664
ultra_long,fp16,entropy_guided,77.9704,840525.8195,90.5849,0.0,3.5,0.4664
ultra_long,w8a8,no_fusion,103.6675,632176.5795,122.9785,0.0899,1,0.4664
ultra_long,w8a8,static_fusion,86.3517,758948.4837,102.359,0.1751,2.3333,0.4664
ultra_long,w8a8,entropy_guided,77.0992,850023.5703,90.5849,0.0171,3.5,0.4664
ultra_long,w4a8,no_fusion,103.0724,635826.4285,122.9785,0.167,1,0.4664
ultra_long,w4a8,static_fusion,85.7567,764215.0578,102.359,0.2522,2.3333,0.4664
ultra_long,w4a8,entropy_guided,76.5041,856635.4463,90.5849,0.0871,3.5,0.4664
